phrase,prompt,Care
I'm not good i'm feeling so cold,Feeling cold,Pharmacy
I got injured exercising,Injury from sports,Emergencey
I can't stand up or sit down I have a pain in my back that annoys me,Back pain,PCP
I feel a burning sensation in my guts about 2 hours after each meal.,Stomach ache,PCP
I have shooting pain in my kneecap after working out.,Knee pain,PCP
It is like I have a needle pushing through my heart.,Heart hurts,Emergencey
The nerves were so damaged during the operation on my ankle that I cannot stand being touched on the scar.,Foot ache,PCP
When I bend over I get a shooting pain down my back,Back pain,PCP
There is a sharp pain in my bicep. I have tried to apply pain relief cream but it does not help.,Muscle pain,PCP
I have a neck pain when I sit in-front of my laptop.,Neck pain,PCP
I have terrible pain in my heart,Heart hurts,Emergencey
I get a knee pain when I walk a lot,Knee pain,PCP
I had an accident and my wound was open when I arrived to hospital,Open wound,Emergencey
I often get a sharp pain in my chest and I can't tell what I'm doing that might be triggering it.,Heart hurts,Emergencey
I have a ear ache when I go to the pool,Ear ache,PCP
my hair isn't well,Hair falling out,Pharmacy
"I am always cold, even when I am wearing layers",Feeling cold,Pharmacy
severe pain in the upper left side of chest and may have pain to back,Heart hurts,Emergencey
I have a hard muscle pain since i went to the gym,Muscle pain,PCP
I don't have full range of motion with my arms,Shoulder pain,PCP
i have muscle pain at my left leg.,Muscle pain,PCP
I feel pain in my joint after an injury in the last football match I played.,Joint pain,PCP
i have a strong shoulder pain,Shoulder pain,PCP
When I eat too much sugar my body gets weak and dizzy.,Body feels weak,PCP
"My body feels weak after my first day in the gym, why?",Body feels weak,PCP
When I stand up too quickly I start to feel dizzy and light-headed,Feeling dizzy,PCP
"surgical wounds red, firing pus, painful and hot to the touch",Infected wound,PCP
There is an injured person,Infected wound,PCP
"I think there's something wrong with my wound, it does not seem to heal like it should.",Infected wound,PCP
The wound is still open,Open wound,Emergencey
I feel dizzy whenever I stand up.,Feeling dizzy,PCP
A terrible fall in hair,Hair falling out,Pharmacy
I have a dull ache in  my lower back which makes it difficult to move,Back pain,PCP
I feel like there is something swollen and inflamed at the back of my knee.,Knee pain,PCP
I have a powerful pain inside my neck,Neck pain,PCP
My head hurts whenever I try to do something.,Head ache,PCP
I don't have the energy to do the things that I used to,Body feels weak,PCP
I feel pain in my shoulders when I write on the keyboard.,Shoulder pain,PCP
My ear hurts when I touch it.,Ear ache,PCP
I get a knee pain when I walk a lot,Knee pain,PCP
When I force my eyes to view I have blurry vision.,Blurry vision,PCP
I don't have full range of motion with my arms,Shoulder pain,PCP
I have a headache every time I eat ice cream,Head ache,PCP
"Sometimes when it is cold outside, my face hurts, especially around the pimples that are ready to pop.",Acne,Pharmacy
my hair isn't well,Hair falling out,Pharmacy
I do not know why I feel cold,Feeling cold,Pharmacy
My entire body is freezing.,Feeling cold,Pharmacy
My neck is annoying me I can't sleep bacause of it,Neck pain,PCP
I feel something hurt me in taking breath and I cant take my breath,Hard to breath,Emergencey
The warming system of my house is broken and  feel so cold,Feeling cold,Pharmacy
I have a ear ache when I go to the pool,Ear ache,PCP
My calves feel like they are tight as knots and are throbbing,Muscle pain,PCP
"I started taking swimming lessons and I guess I swallowed too much water through my nose, because this sinusitis is killing me now.",Injury from sports,Emergencey
i'm disappointed,Emotional pain,PCP
I have terrible pain in my heart,Heart hurts,Emergencey
"I have a blurry vision and i can't see in the darkness , what is the reason doctor ?",Blurry vision,PCP
I felt my heart hurts when I ran for along distance,Heart hurts,Emergencey
I got acne when I ate chili,Acne,Pharmacy
I feel something hurt me in taking breath and I cant take my breath,Hard to breath,Emergencey
I have a great stomach ache and i can't eat any thing,Stomach ache,PCP
I can't stand up or sit down I have a pain in my back that annoys me,Back pain,PCP
"Sometimes when it is cold outside, my face hurts, especially around the pimples that are ready to pop.",Acne,Pharmacy
I have acne in my face and other problema in my derma like itching,Skin issue,Pharmacy
I have eruptions on my face that come and go .,Acne,Pharmacy
I have a pain in my stomach,Internal pain,PCP
I have blurry vision after I used a wrong medicine.,Blurry vision,PCP
I have shoulder pain when I try to carry my groceries.,Shoulder pain,PCP
I have a cold and it makes me cough alot,Cough,PCP
My back got injured while i was lifting at the gym,Injury from sports,Emergencey
I have blurred vision.,Blurry vision,PCP
i feel that it's hard to breath for me specially after running or making any effort,Hard to breath,Emergencey
My stomach has been sore since yesterday.,Stomach ache,PCP
My grandson cut his foot on a seashell in the ocean and now the foot is turning gray and is puffy.,Infected wound,PCP
I read a book for along time and when I finished reading I feel head ache,Head ache,PCP
I feel great pressure in my chest,Hard to breath,Emergencey
My son squeezed a pimple and it broke open only to scab over and now looks like it is infected.,Infected wound,PCP
My muscles in my lower back are aching.,Muscle pain,PCP
"There is an extreme pressure below my belly button at the right, which I feel every time I go out for a jog.",Internal pain,PCP
Feel like something is being jabbed into my joints,Joint pain,PCP
I love to garden but I get a terrible twinge in my lower back when I lean over.,Back pain,PCP
i can't see well,Blurry vision,PCP
"i was playing basketball yesterday, i have sprained ankle",Injury from sports,Emergencey
Stomach pain after drinking milk,Stomach ache,PCP
I visited many doctors but they can't find the right treatment toget my hair back,Hair falling out,Pharmacy
It's hard to see things,Blurry vision,PCP
"surgical wounds red, firing pus, painful and hot to the touch",Infected wound,PCP
When I go to sleep I am feeling cold,Feeling cold,Pharmacy
I have pain in my stomach,Stomach ache,PCP
I have pain in my colon and my stomach like something cutting it,Stomach ache,PCP
There is a sharp pain in my ear whenever I do this.,Ear ache,PCP
I can't stand with this horrible feeling in my shoulder,Shoulder pain,PCP
The pain in my back dwwls like a sharp knife in it,Back pain,PCP
I feel dizzy whenever I stand up.,Feeling dizzy,PCP
i have shoulder pain after doing any home work.,Shoulder pain,PCP
i have a pain in my elbow joint,Joint pain,PCP
i have pain but i can't specify place,Internal pain,PCP
I have blurry vision after I used a wrong medicine.,Blurry vision,PCP
I have an ear ache when showering,Ear ache,PCP
When get up I found that I have a stomach ache  and I tried to take medecine but my stomach still hurting me,Stomach ache,PCP
My head hurts when I'm doing this.,Head ache,PCP
My lower back hurts but it improves if I stretch it,Muscle pain,PCP
I feel joint pain every time I move,Joint pain,PCP
I have shooting pain in my kneecap after working out.,Knee pain,PCP
I feel like the room is spinning,Feeling dizzy,PCP
"I feel a pain on the left side of my chest, where my heart is",Heart hurts,Emergencey
I chopped off the tip of my finger while I was cutting some cardboard and I cannot stop the bleeding.,Open wound,Emergencey
My muscles in my lower back are aching.,Muscle pain,PCP
I love to walk and be outside but the bottoms of my feet get sore so quickly.,Foot ache,PCP
There is a sharp pain in my bicep. I have tried to apply pain relief cream but it does not help.,Muscle pain,PCP
stiffness inability to look right or left except by moving the whole body,Neck pain,PCP
When I stand up too quickly I start to feel dizzy and light-headed,Feeling dizzy,PCP
When I wake up I am feeling cold,Feeling cold,Pharmacy
My infected wound caused a fever,Infected wound,PCP
I feel like my heart is on fire.,Heart hurts,Emergencey
I cannot breathe because of this dull ache below my left shoulder.,Heart hurts,Emergencey
It feels like someone stuck a knife into my shoulder,Shoulder pain,PCP
I'm not good i'm feeling so cold,Feeling cold,Pharmacy
I have a problem in the expiration because i have abronchial asthma,Hard to breath,Emergencey
My stomach has been sore since yesterday.,Stomach ache,PCP
heavy breath with fatigue,Emotional pain,PCP
Feel like something is being jabbed into my joints,Joint pain,PCP
I chopped off the tip of my finger while I was cutting some cardboard and I cannot stop the bleeding.,Open wound,Emergencey
I feel cold although we are in summer.,Feeling cold,Pharmacy
"i was playing basketball yesterday, i have sprained ankle",Injury from sports,Emergencey
I can't walk well I have an ache in my foot,Foot ache,PCP
I feel lightheaded,Feeling dizzy,PCP
I feel pain in my neck after waking up,Neck pain,PCP
I suffered a deep wound in my hand and I can not stop the bleeding,Infected wound,PCP
I wake up with a stiff neck every morning.  Massage helps but then a couple of days later it's back again.,Neck pain,PCP
My ear hurts when I touch it.,Ear ache,PCP
"There must be something wrong with my blood circulation, I have to wear socks even on the hottest days, my toes are frozen!",Feeling cold,Pharmacy
I feel pain in my shoulders when I write on the keyboard.,Shoulder pain,PCP
i hit the ground when trying to shoot a basketball,Injury from sports,Emergencey
My muscles feel tired,Body feels weak,PCP
The severe pain in the stomach I feel,Stomach ache,PCP
"When I stand up, I feel like I'm going to fall down instantly",Feeling dizzy,PCP
"The last time I clipped my toenails, I cut them too short and now I have an infected nail.",Infected wound,PCP
Surgical wound infections,Infected wound,PCP
My knee is hurting so badly.,Joint pain,PCP
my left side aches much,Internal pain,PCP
My back hurts me and i can't bend it or walk,Back pain,PCP
I think I overdid it when I carried all that lumber from the yard. My lower back is killing me.,Back pain,PCP
I've always been very active but now I just don't have the strength or energy to go for even a short walk.,Body feels weak,PCP
i have issue with my skin,Skin issue,Pharmacy
I get breakouts on my chest with red patches that get more intense when i get hot.,Acne,Pharmacy
i can't ride my car at night because i have blurry vision.,Blurry vision,PCP
"I hardly have enough stength to get up,",Body feels weak,PCP
"after playing football, i have muscle pain with my both legs.",Muscle pain,PCP
There is pain in the muscles I do not know caused,Muscle pain,PCP
My ear hurts when I touch it.,Ear ache,PCP
Every time I look to left I feel a sharp pain in my neck.,Neck pain,PCP
I can't do anything I feel a weak in my body,Body feels weak,PCP
My lungs feel heavy like they are filled with mucus,Cough,PCP
I feel emotionally crushed,Emotional pain,PCP
i have pain like needles in my joints.,Joint pain,PCP
"My body feels weak although I eat a lot, why?",Body feels weak,PCP
